,label
4288200,4321
2887723,4141
4197379,4141
3848982,4321
3811810,442
1486995,523
3648876,415
2556691,352
2225682,4411
3988948,523
3980497,532
4157824,4123
3299909,361
2100508,361
2654827,361
3034998,3412
2037345,343
1757571,415
2029427,4213
2359956,4411
2510227,343
3639376,415
2373415,4312
3222149,4213
3933628,4141
1549407,4411
3522713,361
2400561,4312
1567971,3421
3343997,361
2581992,352
2957509,4321
1716519,361
1957793,4411
2574963,352
3615388,415
3405705,4213
3676910,4213a
2094536,343
1858693,532
2259191,4321
3679969,4411
3066098,4411
3013142,4321
3360529,352
2738998,415
3392882,451
4124151,4312
3835142,442
1620708,5212
3197395,4213a
3511277,352
3388284,3421
3244878,352
2794004,523
4102697,4321
2347181,4213a
2297946,4321
1482492,3421
3076349,3421
2357728,4411
2471933,361
4106128,3421
2572865,4141
1894545,442
3341951,361
1517317,4213
2851520,433
2921072,4123
4083553,4141
1630505,4123
3469515,4123
1966915,4213
4378705,352
1827521,532
3221629,4213
1527137,4231t
3310726,433
1966690,523
3371709,523
4087326,4213
1888939,5212
3500926,352
2285863,4213a
3163690,4141
4089515,3421
2635930,532
2078101,3412
3758143,532
2672873,361
3532691,361
3345118,3412
2467862,361
3803350,442
3884441,4141
2748265,415
3326101,451
2201221,3421
1736094,523
4161224,4123
2242459,4213a
2796840,433
3437689,5212
1741350,415
3175142,4141
3960571,4411
3001034,4231t
4158575,4231t
1999119,4411
3618125,433
4074296,3412
2566056,433
3229122,4312
4212796,343
3718954,433
1780906,415
3165750,4141
3752442,4213
3897780,523
1481119,343
1934711,4213a
3192653,352
4169943,4312
1953933,442
3820538,442
1507248,451
2288601,4141
3974963,5212
2050783,4312
1537216,343
4013702,4141
2969677,532
3123815,4123
1922580,4123
1987719,4312
2659303,4213
3421594,4411
4222482,4213
2278726,4213
4184715,4141
1652965,3421
3935767,532
3567868,4123
3292602,4321
1617373,4411
4127489,4312
2518872,343
4270129,4213a
3242140,4411
3224162,4213a
4027860,3412
3438704,451
3482999,4141
3679398,4213a
1723784,415
2710620,523
4316020,5212
1746282,415
3138498,4321
1609250,442
4012400,4141
4185869,4141
3876270,523
3099247,4312
4211955,4231t
3485665,352
3906677,5212
2959228,523
2898235,4411
2099393,352
3844450,442
3513914,361
3386408,3421
3804605,442
2987038,532
4217631,4213
3595209,4411
4062347,4231t
1529649,4231t
2983615,532
3082805,4213
3533485,361
3939980,532
4377090,3412
2633953,361
1859986,4213a
2897588,451
3718564,433
2598442,352
3615126,415
3243579,4213a
3613254,4312
3233901,4213a
1652360,451
1919619,442
3560064,361
2233655,5212
3906075,5212
3895746,523
2752633,415
3393071,4123
1656982,4123
2327623,4213
4319666,4231t
1883669,433
2974737,3421
3091355,4312
2334338,4213
1759446,415
3820542,442
2277025,4141
1727300,442
2150287,4141
2271577,5212
3727380,433
3408730,4213a
3116474,4123
1635803,451
4055921,3412
4117988,5212
2559743,352
3940362,532
3435160,451
3713934,442
3376238,532
3811880,442
2793382,523
2741697,415
2436399,361
1482598,3421
2771004,532
1914966,442
2183099,3412
2119638,4312
1851318,4213
1748021,343
3496286,4321
4334323,343
3606556,361
2589250,352
4064026,3412
3553153,361
2265760,4411
3079290,4141
3239972,4411
1782193,4312
1689015,361
2589713,4312
2360389,4213a
3538174,361
1841537,433
2915995,3421
1596498,442
2384659,4411
4330256,5212
2172391,3412
1897450,442
1673479,451
1548993,4411
3910583,523
1631930,523
2225959,3421
2623756,451
3616095,433
2146635,3412
1742837,532
2481875,4123
2382393,4411
1987688,523
2737969,4141
4037647,3412
4119114,5212
3437157,5212
3041124,4213
3419190,4411
2454004,343
3962580,532
3034933,4141
3458793,3421
2407015,5212
1627405,4123
3432205,451
2576989,352
3964339,4411
2644277,361
1585739,4141
2307462,5212
3806137,442
4338572,361
2758826,4321
4283903,4321
3926449,532
3426983,4123
2590203,4312
4094172,3421
3686842,4231t
1956270,442
2819801,433
2953429,523
3516275,415
2573821,352
4191569,4411
4221374,4213
4207514,4312
4262621,5212
1984495,523
2889940,4321
2686871,4411
4303446,5212
4243306,4213a
2313256,343
2690121,4411
1766427,415
4332848,5212
3031459,3412
2983205,532
2201199,3421
2143165,4231t
2599937,4411
1837888,433
2351039,4213a
3278081,4312
3359626,343
2615538,352
2807856,433
3340368,361
3157596,4123
2991907,352
3117590,4123
2938908,523
2067656,5212
2160417,3412
1684123,4213
3470540,352
1648734,451
3822081,3421
1533783,451
4304176,5212
2813365,4141
3805757,442
3661676,415
2307959,4141
3669526,415
3691027,415
3923314,3421
1696418,4231t
1585394,442
4166190,5212
3805192,532
2142100,415
3976453,5212
3784000,5212
1678852,4231t
2301407,4411
3082605,4213
3605737,5212
4072008,3412
3459273,3421
1720756,415
3919542,532
2358682,4411
4345411,352
2699341,433
3214981,4411
1490585,451
2531221,352
2438968,433
2969173,532
4004488,5212
4271670,4312
3393210,451
2813834,433
